Headline,Sentiment
"Iran Israel war LIVE: Iran's armed forces chief of staff killed, claims Israel",Negative
"Israel shows strikes on F-14 jets in Tehran, says it thwarted drone attack",Neutral
Trump explains ‘evacuate Tehran’ post; multiple explosions heard in Iran capital,Neutral
‘Tantra mantra’ twist in Meghalaya murder: ‘Sonam had Raja tie a bundle’,Neutral
Pilot Sumeet Sabharwal's father breaks down as he pays emotional tribute to son,Negative
Iran-Israel tension: What is Strait of Hormuz and why is it at stake?,Neutral
"Vaibhav row sparks crackdown, BCCI rolls out new rule to catch over-age players",Positive
Tata Harrier EV at Quad Day: Capability without drama and tech with real purpose,Positive
"Doctor who supplied ketamine to Matthew Perry, agrees to plead guilty",Negative
"Kohli got a '5-min lecture' from DK in IPL final, move backfired immediately",Neutral
Bobby shares rare pic with son Aryaman on birthday; Sunny Deol wishes him too,Positive
Derek Jones backs Rugby Premier League as Olympic dream launchpad,Neutral
"Vaibhav row sparks crackdown, BCCI rolls out new rule to catch over-age players",Positive
Babar Azam served with loud and clear message from Aqib Javed after T20 snub,Positive
Triple Super Over mayhem! Netherlands survive drama to win historic T20 vs Nepal,Positive
"Who was Dirdh Patel, 23-year-old cricketer that tragically died in plane crash?",Neutral
Raveena Tandon: Today's fashion is going back to the 1990s,Neutral
"FIR against Puja, Kunal Verma on kidnapping, extortion charges",Neutral
Do you know Aishwarya Rai's Devdas climax saree was created in a night?,Neutral
Patralekhaa opens up on husband Rajkummar Rao being her cheerleader,Neutral
Dolly Chaiwala is Starbucks’ new brand ambassador? Company denies viral claim,Positive
Uttarakhand crash: Grieving wife fights tears at pilot Rajveer Singh’s funeral,Neutral
Pilot Sumeet Sabharwal's father breaks down as he pays emotional tribute to son,Negative
‘Why do Indian hiring managers think they’re God?’: Bengaluru candidate’s rant,Neutral
Indian students moved out of Tehran as fears of Iran-Israel war grow,Neutral
Tata Harrier EV at Quad Day: Capability without drama and tech with real purpose,Positive
Person with disability found dead in Manipur; Arambai Tengol members held,Negative
SC to hear on Jun 18 plea against Madras HC directive to arrest TN ADGP in kidnapping case,Negative
"Numerology Horoscope Today: Predictions for June 17, 2025",Neutral
"Tarot Horoscope Today: Zodiac Sign Predictions for June 17, 2025",Neutral
"Love and Relationship Horoscope for June 17, 2025",Positive
"Pisces Daily Horoscope Today for June 17, 2025",Neutral
"Aquarius Daily Horoscope Today for June 17, 2025",Neutral
‘Lonely’ elderly are actually at 18% lower risk of death: Study,Negative
"Gastroenterologist shares top 7 fruits that help if you're constipated, bloated",Positive
How to choose your hairbrush for your hair type: Darshan Yewalekar shares,Neutral
Fitness coach reveals 5 food mistakes women make during weight loss,Neutral
Can you guess these dog breeds by their appearance?,Neutral
Harvard University’s best advice for better sleep,Positive
How to limit screen time for better health,Positive
Smart strategies to excel in your first job,Positive
How to make your anxious dog feel secure,Positive
"SSC CPO 2025: Notification release date for Delhi Police, CAPF SI exam postponed",Neutral
"MHT CET Result 2025 OUT Live: PCB results announced, PCM toppers' list here",Positive
"IBPS revises tentative calendar for 2025-26, important dates here",Positive
"JEECUP Answer Key 2025: UPJEE provisional key released, direct link to download",Positive
